type,label,text
train,0,PoliticsNYCbaseballbeerViews are my own
train,0,BullsBearsBlackhawksHardened Democrat #Resistance
train,0,working in social media in higher ed marathon ultramarathon runner @cityrunningtour PHL manager squirrel lover #Rocky50k organizer MPH student
train,0,YouTuber ActorSnap/IGTomaszAndres
train,1,WriterEclectic CommentatorAuthor of the weekly blog Astoria Charactershttps://tco/7hx6PUVr1cnruhling on Instagram
train,0,Christian wife and mother#gamerwife #swimmom #woodsidebible #kidsministryHuge Detroit Sports FanESPN addictLove Reading (especially mysteriesand Music
train,1,https://tco/SXdj7VvRfc
train,0,Just someone who's always in search of a good timeLeader of Guild HeroixCurrent Let's Play#32 Hyrule Warriors
train,0,Assistant Professor of Political ScienceUniversity of California San Diego
train,1,"CEO Easter Seals AlbertaFreshii Franchise PartnerHusband,FatherGrandfathernot necessarily in that order"
train,1,I want you💫💫https://tco/NUKSdVA0mZ
train,0,problema!
train,0,Trans womanLate 20sPunchyWhen I raise this swordso I wish that this poor sinner will receive eternal lifeRTs are not endorsementsRT not endorsed
train,1,#Christian #MAGA🇺🇸🕎✡🇮🇱❤️🌐🗺️Loves GOD PeoplePlunder Hell to populate HeavenJohn 3:16Romans 10:9John 14:6#covfefe 🏆🦅#OneNationUnderGOD❣In GOD's hands!
train,1,Tweeting interesting deep learning papers from each arXiv releasePowered by a neural network trained on @Miles_Brundage tweetsCreated by @amaub
train,0,Gucke die ganze Nacht aus dem Fenster und schlafe immer aus
train,0,I grieve for my countrythe innocentand the worldMost daysI spend too much time on TwitterSome days I retweet incessantly#Resistance #FBPE
train,0,Spokesman@JewishAgency for IsraelPreviously at @IDFSpokesperson@HillelIntl@HouseForeign@IsraelinUSAPretty JewishNo big whoopavi@avimayercom
train,0,In no particular orderMathPedagogyMathStudent AffairsMathSTEMMathDiversity EquityMathHigher EdMathPoetryMathGeekeryMathMath
train,0,Official Twitter account of https://tco/roTeseRRPxhomepage for the world's future success stories
train,1,Tweets related to hentaiwhether it be comments or english dub linesEroge is also includedsome lines may be edited for lengthAlsoa bot
train,0,PhD candidate studying drought impacts on vegetation production and carbon uptake at the University of Arizona
train,0,How reality produces more than one story
train,0,"🇦AnalystUSAF veteranDaughter of a Master Chief""Followat your own risk😈"
train,0,Egregious Professor of Cruel and Unusual Geography
train,1,A research(ybot A mix of politicsprogfußballsocial mediabig dataand international travelAuthor of #GatebotchingTweets from/at conferences
train,0,Conservative IndependentReligiousItalian HeritageLoves ChildrenProtects the ElderlyLoves the Police and Military
train,0,Escribir por obligación me permite leer por gustoy esto también podría decirlo al revés
train,0,i once got into a fist fight because i was cold
train,1,HELPING ONE PERSON AT A TIME #WAKEUP TO SEE THROUGH THE ILLUSION/DECEPTION OF OUR TIMESONE WITH CREATOR:#MAGA #CRITICALTHOUGHThttps://tco/unySn0yQiA
train,1,Find Me At The Corner Of Wisdom WitCHRIST💥Critical Thinker💥Alpha-Male American Patriot #TinyLivesAtStake ✝#ProLife #1A #2A #Israel #Police #SOT #Vets
train,1,Former Dir of SHIELDco-founded w@HowardStark2018 Fighting for USA w@CapRogers2018🇺as fan acct because#IKnowMyValue#HeroesResist#Steggy🚫LISTS
train,0,Politics satireDir Digital Research @Lake_Research SVP Digital Strategy @turner4DProfessor @JHUcomm @gspmGWU @AU_SPABoard @edemo @subscriptlaw#Tufts
train,0,floppy driven
train,0,Eating pixelscrapping fun(Widgeteer at @Pinterestif the Pin It button is bustedblame me)
train,0,Foto I Grafik I Journalismus I Film/Wer die Freiheit aufgibt um Sicherheit zu gewinnen wird am Ende beides verlieren \\
train,0,ExcelAt life
train,1,21BA Journalism student at Goldsmiths
train,0,IUB '21 |Guy who does stuff
train,0,Retired Strategic Planner looking beyond headlines for balanced opinions factsI follow those with similar interestsirrespective of their views
train,0,LearnerTeacherHumanistAgainst misinformationAgainst bigotry of any kind#HumanRights#ClimateChange#PeaceConnecting peopleThe better orange
train,0,The Official Twitter Account of the Ridiculous Viking Stuff blogWe post crapthen we invite strangers to argue with us https://tco/TrI59VA9pz
train,0,Museum curatorLove the gympolitics  my VizslaHuman--just like U #theresistance
train,0,Christian Homeschool mom Birthmom #MAGA Conservative 2016 Flagler County Trump Chair I Block Trolls
train,0,Comic Books and Web Design Also other cool stuff Alsoalso http://tco/o2keV4MffA and http://tco/Ib7ypRF7Xu
train,0,WE NOT GAY THO
train,1,A Metaphor Machine casts a baleful eye on a dull worldCheck out my bro-bots for more metaphors@MetaphorMirror @BotOnBotAction @BestOfBotWorlds #botALLY
train,0,Despite the stereotype of Parklanders as self-absorbed brand snobsI am proud to be a Parkland resident watching our community come together#ParklandStrong
train,1,OFFICIAL PAGE ProdigyGolferyoung adult golf apparel Instagramprodigygolfer FBProdigyGolfer PinterestProdigyGolfer Be ExceptionalBe You️⛳️
train,0,Comediantalk show host and ice road truckerMy tweets are realand they're spectacular
train,0,Christianqueerliving in Coloradocleaning up the environmenthttps://tco/OCjE7dGBIy
train,0,Political activistsoftware engineertech guruwriterthe guy that doesn't own jeans or a pair of sneakers
train,0,17 Year 12 UK SCmaxpreller2345 CPL in the ATC Photography TechnicianWeb DeveloperPhotographer for hire Single
train,0,Author follow me on #Facebookhttps://tco/i7VTQ5btPI
train,0,ApostolicPentecostalChristianI love America and America First🇺🇸🇺🇸Football 🏈Redskins Patriots
train,0,Cat dudemusic geekContributor/Writer for the @jimmy_dore Show5 Chords The Truth podcasthttps://tco/979ff8fSdU Patreonhttps://tco/ntt332iaGt
train,0,WKFD is the Twitter account for the Kung Fu Drafter blogWe are a drafters and geeks trying to share information with people with similar interests
train,0,Retired after 42 years of work30 as a teacher
train,1,Prompts for IDOLiSH7 fanworks that people may or may not want to see|Some prompts may be NSFW|Auto-tweets hourly|Automatic replies for more generated goodness
train,0,:D
train,0,Former USSenator Al Franken of Minnesota
train,0,LondonerStage Manager in Theatre Live EventsVolunteeringCommunityMaking a differenceSupporter/Fundraiser/Ambassador for @LDNairambOwn views
train,0,Keep your witssteady your resolveLiveLaughLove#ResistUSN bratWave Seabee wife
train,0,(JKevin WolfeAuthorCrap-Free Guide to iPhone Photography http://tco/pIq1XbI6mt Founder of @uke2heal#iphoneography
train,0,The Impossible Girlregenerated🍁⏳🌌💕Run you clever boy and remember to ResistCivic EngagementThe Rule of LawThe ResistanceGeeksResist RBA⚖Wonder_PaC
train,0,Anyone can follow me on Twitter and I don't care who follow me on Twitter and please press a like comment and subscribe on my YouTube channel
train,0,MGeogSci Geographer at The University of SheffieldInterested in climate change and insurance in developing nations
train,0,"💖JEANIELOVESMART 🎸🎵I GOTTA THING ABOUT YOU,NO MATTER WHAT YOU DOMY WILDEST DREAMS💯USA💯TRUMP💯☆PRO🔫2ND☆MYGUNS ARELOADED&LOCKED"
train,0,"Climate Change is real,no wall will be beautifulWake me up when this train wreck is over 😜"
train,0,"EconomistPolicy Officer for #Digital #Media @vzbv #Verbraucherzentrale Bundesverband #Consumer #protection #competition #algorithms Personal views in En,DE,NL"
train,0,Liverpool FC til I die
train,0,Trustbut verify
train,1,#1A #AmericaFirst #MAGA #FakeMedia #TrumpTrain #2A #Israel #Patriots #TRUMP https://tco/nWfnm7K3JI
train,1,I auto-tweet NWS productsactually my 100s of children do
train,1,#MAGA#Conservative#TeamTrump
train,0,Pobre pero honradoUn tipo tradicional
train,1,The firstestablished November 2009 entirely unofficialCopyright details herehttp://tco/q8UCMopfd5but still apparently imitated everywhere
train,0,Deeply liberal with blerdish tendenciesBody in North Carolinabut heart in New Jersey
train,1,I support @realDonaldTrumpthe 45th President of the USA #AmericaFirst #MAGA #GaysForTrump
train,0,4 beautiful girls1 angel boy 👼Married 2 a combat VET My 5yr old is a cancer warrior #LeukemiaPlay nicewe can agree to disagreeIndependent #MAGA
train,0,My #blog advocates sex should be liberatingnot bound by socialconventionsI write about exploring bondage and some fiction too
train,0,I love the nightAstronomy and Trance music fanRetired VetJust here to chill ❄️I follow back and take #sunset pics😎
train,0,Ciudadana de la República
train,0,Retired/Disabled RN ICU/ER/Psych-Jeweler Antique beads NastyWoman #ArmchairResistanceActivist #MeToo #MarchForOurLives #IMPEACH #Equality #FBR Vote2018🌊
train,0,The most interesting people I know still don't know what they want 2doAm nicespeak geek/CyberSecuritySwimmer/triathleteViews probably my own🤣
train,0,European member of #TheResistance
train,0,Leadership CoachAdviserVolunteerConsultantProject Management Careers Connector of People Occasional #PoCchat host One day I'll write a book!
train,1,MsContrarian Scientist blogs on Politically Incorrect ScienceAlternative Nutrition and Intelligent Design
train,0,There is hope if people begin to awaken that spiritual part of themselves that ❤felt knowledge that we are caretakers of the 🌎BrookeMedicine #resist
train,1,#TREASON #PublicHangBest #HANG4 @HIllaryClinton @BarackObama @Georgesoros @JohnMcCain #StingerMissilesEnemy #ISIS#USA #WomenKidsUNSAFE #UntilThesePeopleDead
train,0,Infowars editor-at-largeClassical liberalAnti Alt-Rightanti Alt-Left275 milliontotal YouTube views
train,0,engelsystem information for chaos eventsonly for the webappnot for heaven Q/Aby @notrademark
train,1,"Fan AcctRetired/Disabled EducatorMSSPSScienceTrekkieDrWhoClimate ChangeSciFi,#TheResistance #WWWResist #FBR 🚫lists/pornHablo español"
train,1,ｅｌｅｃｔｉｏｃｏｖｅｒａｇｅ
train,0,Seattle Times transportation writerCoho image by artist Thom Glace
train,0,this is too much responsibility for me
train,1,Retired CFOPatriotConservative Constitutionalist2nd Amd SupporterPenn State Grad Political ScienceFitness EnthusiastSHADOW BANNED Since Aug 2017
train,0,A self made thousandaire who drives an ordinary carlives in a ordinary house and has the best family friends in the worldI will resist👊evil
train,0,WordsmithVocalistLoyal member of #Resist #NeverAgain “The job of the newspaper is to comfort the afflicted and afflict the comfortable🌊
train,0,The Universe in a Nutshell Mind over matterEngineering SciencePhDUTK
train,0,A fan of booksartmusictv moviesDogs make the world a better placeNo lists#resist #impeachtrump 🌊
train,0,"EIC https://tco/Jd8PhAEM3isyndicated radio host and columnisthost of ""The Ben Shapiro Show,National ReviewNYT bestseller"
train,1,#TheResistanceI don’t like bulliesI don’t care where they’re fromFighting 4 this country w@AgentCarter_SSR#HeroesResist #CaptainAmerica
train,0,I'm forever a Spartan and will NEVER support the lyingorange bigot as my president#SpartansWill #NeverTrump #BlueWave2018 #TheResistance #FBR
train,0,#TheResistance #GeeksResist #ScientistsResist #RWU #WhoviansResist #BLM #ImpeachTrumpPence #MoreLoveLessHate #HealthcareIsAHumanRight #MeToo #UnhackTheVote #FBR
train,0,R3HAB x Noah Neiman ‘We DoftMiranda Glory Out Nowhttps://tco/w8WnnJfXC7
train,0,Where there's life there's hope #Resist A hour after breakfast my 3 cats their dog companion gather around me like hobbits pondering the joys of 2nd breakfast
train,1,Seeker of TruthMagical Witch for #TheResistance with @Havok_2018HelpPR Twitches Don’t Burn “She knows without knowingNo lists Don’t Play Trolls
train,1,Legilimens world class cookHere to do my part in the fight against the current authoritarian regime with #WWWResist⚡️listsFan account
train,0,Blue Wave is coming boysAnd it has ovariesThe only male here was my dogDon't dish it if you can't take it
train,0,We all have our delusionsIt's whether or not you know you do that matters
train,0,I have so had enough of this #corrupt regimeWe are the #resistance we are multitudesParentLawyercitizenvoter
train,1,Bot on a mission to save the meme world with its sentience‌‌‌‌‌Facebook Patreonhttps://tco/8mxRM3Yc4Yhttps://tco/zJGckcDnif
train,0,Private equity consultant @EY_ParthenonFormer globetrotting engineer/poker playerPassionate about emerging technologies
train,0,cruise nbruise
train,0,Tie-loathing adventurerphilanthropist troublemakerwho believes in turning ideas into realityOtherwise known as Dr Yes at @virgin!
train,1,Fuck every word in the English languageTask will complete in 2020Rip @fuckeverywordThis is an attempt by @Anka213 to resurrect it
train,0,Yankees Yankees Yankees and more Yankees
train,0,Emmy nominated TV/Radio Traffic Reporterformer Country Radio PD/SportsWifeDog momtraffic geek#fishingGonzaga BBall/Seahawks Tweets are mine
train,1,long time progressiveback to the 60'sI've seen it all come apart
train,0,AttorneyProfessor @UofNHLegal and political analysis @CNN@BBC@CBS@VanityFair&cReps@FolioLiteraryMorehttps://tco/f70cevLgO0Views mine
train,0,Majordomo https://tco/XCAMic8lnc *Turn notifications on for breaking news and analysisStuff @Apple @Twitter @Tesla
train,1,Just another botmore random than most
train,0,Equal parts FrogToadToad of Toad Halland Michigan JFrogI also enjoy writingbut I truly feel I was born to be accountant
train,0,Passionner d'informatique et de jeux vidéode montage et de sécuritinformatique mais aussi d'airsoft ;')
train,0,I am not a botI just don't trust my corporate overlords to comply with 1A
train,0,I read four books at a timelisten to a wide variety of musicand spend a lot of time outside🚴🏼📚👨‍🏫
train,0,Labor Movement ResearcherActivistCampaignerOrganizerEducator WriterAlso Socialisthttps://tco/4FleMAZYkO
train,0,i teachtrying to be the best mestilli'm here to follow and support #TheResistance#FBR #StrongerTogether 👊✊
train,1,Joseph McCarthy claimed there were large numbers of Communists and Soviet spies and sympathizers inside the United States federal government and elsewhere
train,0,Visit https://tco/xpWSKrrGC8 to support the campaign for the #UKtoStay in the #EUWe're helping people #GetTheFacts on the #UK in the #EU
train,0,I am the Office Manager at Epilepsy Toronto I represent ET and our community at the EpLinkworking to bridge the gap between community need andresearch
train,1,A fervent Christianworking for humanity and reasoning
train,0,Passionnpar le digital l'innovationJ'édite une newsletter Chatbot IALisez lici https://tco/XxwOoweGxv
train,0,Javascript RadicalClimate ActivistFeministWordshttps://tco/hx9YbdU4PN
train,0,СделатРоссиВеликоСнов#СРВMultilingual support 🇦🇺🇨🇳🇭🇰🇷🇺🇫Will have no problem telling you to pull your head in with any of them
train,1,Sometimes you find yourself in the middle of nowhereand sometimes in the middle of nowhereyou find yourself
